City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Shiyan,CN,32.6475,110.7781,59.09,85,100,0.2,overcast clouds
294,Khasan,RU,42.4308,130.6434,46.6,80,100,4.72,overcast clouds
295,Thunder Bay,CA,48.4001,-89.3168,55.31,88,40,10.36,scattered clouds
296,Hofn,IS,64.2539,-15.2082,43.81,48,15,6.55,few clouds
297,Manggar,ID,-2.8833,108.2667,82.26,76,99,1.81,overcast clouds
298,Yangambi,CD,0.8102,24.4336,78.4,70,98,1.03,overcast clouds
299,Urucui,BR,-7.2294,-44.5561,94.21,38,100,7.65,overcast clouds
300,Fazalpur,PK,32.1833,75.0667,96.24,8,0,9.55,clear sky
301,Paamiut,GL,61.994,-49.6678,30.51,64,100,19.77,overcast clouds
302,Kieta,PG,-6.2167,155.6333,78.67,81,65,1.28,broken clouds
303,Hobyo,SO,5.3505,48.5268,82.85,78,83,25.1,light rain
304,Bandarbeyla,SO,9.4942,50.8122,83.64,81,81,18.21,broken clouds
305,Pirae,PF,-17.5167,-149.5333,75.22,78,40,8.05,scattered clouds
306,Tatvan,TR,38.5067,42.2817,49.06,57,0,2.15,clear sky
307,Merauke,ID,-8.4667,140.3333,80.08,79,63,9.48,broken clouds
308,Tangping,CN,22.0265,111.9323,73.98,96,93,4.03,overcast clouds
309,Hovd,MN,48.0056,91.6419,50.2,19,0,1.48,clear sky
310,Oskarshamn,SE,57.2645,16.4484,57.97,46,96,11.27,overcast clouds
311,Caarapo,BR,-22.6342,-54.8222,75.87,50,0,5.93,clear sky
312,Ishigaki,JP,24.3448,124.1572,77.43,85,100,15.9,overcast clouds
313,Cerrito,CO,6.8432,-72.694,63.16,75,72,1.16,broken clouds
314,Vostok,RU,46.4856,135.8833,42.01,78,100,3.44,overcast clouds
315,Kayerkan,RU,69.3497,87.7602,37.53,86,100,8.55,light rain
316,Mahebourg,MU,-20.4081,57.7,75.49,73,40,6.91,scattered clouds
317,Vao,NC,-22.6667,167.4833,73.15,64,100,21.39,overcast clouds
318,Mount Gambier,AU,-37.8333,140.7667,60.71,82,100,16.11,light rain
319,Teguise,ES,29.0605,-13.564,68.22,78,20,5.75,few clouds
320,Camacha,PT,33.0833,-16.3333,71.02,60,20,8.05,few clouds
321,Lieksa,FI,63.3167,30.0167,47.44,76,100,7.45,overcast clouds
322,Northam,GB,51.0333,-4.2167,60.39,78,53,17.09,broken clouds
323,Launceston,AU,-41.45,147.1667,57.15,88,100,0.0,overcast clouds
324,Cordoba,AR,-31.4135,-64.1811,66.24,67,75,5.75,light rain
325,Marsa Matruh,EG,31.3525,27.2453,68.99,60,97,10.96,overcast clouds
326,Bani Walid,LY,31.7566,13.9942,75.94,30,42,14.58,scattered clouds
327,Ornes,NO,66.8689,13.7078,44.58,84,100,5.32,overcast clouds
328,Port Blair,IN,11.6667,92.75,82.99,81,59,10.38,broken clouds
329,Camapua,BR,-19.5314,-54.0439,89.06,35,0,5.46,clear sky
330,Tuatapere,NZ,-46.1333,167.6833,50.94,95,100,5.61,moderate rain
331,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.99,73,40,11.5,scattered clouds
332,Safaga,EG,26.7292,33.9365,85.86,43,0,3.06,clear sky
333,Sorrento,IT,40.626,14.3744,73.11,86,1,1.01,clear sky
334,Mar Del Plata,AR,-38.0023,-57.5575,57.94,83,100,13.0,light intensity drizzle
335,Semey,KZ,50.4111,80.2275,65.17,53,80,11.1,broken clouds
336,Rafraf,TN,37.1904,10.1837,79.11,62,0,15.26,clear sky
337,Inta,RU,66.0317,60.1659,52.57,71,69,8.21,broken clouds
338,Karpogory,RU,64.0019,44.4451,54.77,58,100,6.58,overcast clouds
339,La Orilla,MX,17.9833,-102.2333,88.12,49,100,2.55,overcast clouds
340,Trofors,NO,65.5333,13.4063,46.27,97,100,4.34,light rain
341,Dikson,RU,73.5069,80.5464,33.01,99,100,8.99,overcast clouds
342,Upernavik,GL,72.7868,-56.1549,18.52,79,32,4.27,scattered clouds
343,Chokurdakh,RU,70.6333,147.9167,16.25,92,100,9.13,overcast clouds
344,Katherine,AU,-14.4667,132.2667,70.12,73,95,0.0,overcast clouds
